AW,D,PD,MD,F,FM,ZN,DE,IN,O,VI,DI,LAB_CODE,TEST_RESULT_VALUE
0.0,0.0,0.1,0.0,0.025,0.0,1.377,3.851,0.95,0.0,8.4,9.05,LT,244.7
0.0,0.78,0.0,0.0,0.025,0.0,1.485,4.722,0.813,0.0,5.5,7.684,LT,259
0.0,0.0,0.0,0.0,0.025,0.0,0.874,3.446,0.2,0.0,8,4.434,LT,199
0.0,0.59,0.3,0.0,0.05,0.0,1.485,3.034,0.861,0.0,6.1,8.373,LT,277.9
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.85,0.0,6.6,8.5,SR,219.1
0.0,0.0,0.3,0.0,0.05,0.0,1.463,3.152,0.887,0.0,6,8.5,SR,272.4
0.0,0.79,0.0,0.0,0.025,0.0,1.398,4.604,0.762,0.0,5.2,7.881,LT,311.8
0.0,0.79,0.0,0.0,0.025,0.0,1.398,4.774,0.506,0.0,5.3,7.881,LT,214.4
0.0,0.0,0.1,0.0,0.05,0.0,1.377,3.851,0.95,0.0,8.4,8.3,LT,209
0.0,0.0,0.3,0.0,0.04,0.48,1.25,3.172,2.402,0.0,9.9,6.062,LT,302.3
0.0,0.0,0.2,0.0,0.025,0.0,1.251,3.126,0.202,0.0,6.5,4.974,LT,182.6
0.0,0.79,0.0,0.0,0.025,0.0,1.4,4.794,0.508,0.0,15.5,7.652,SR,259.5
0.0,0.0,0.3,0.0,0.01,0.0,1.25,4.289,0.181,0.0,5.9,5.771,LT,222.6
0.0,0.79,0.0,0.0,0.025,0.0,1.4,4.794,0.508,0.0,6,7.652,LT,222.6
0.0,0.0,0.0,0.0,0.025,0.0,1.377,4.915,0.5,0.0,5.5,8,LT,264.7
0.0,0.0,0.15,0.0,0.05,0.0,1.358,5.096,0.2,0.0,6.5,6.8,LT,263.1
0.0,0.79,0.0,0.0,0.02,0.0,1.4,4.77,1,0.0,5.3,7.88,LT,275.8
0.0,0.0,0.3,0.0,0.04,0.579,1.25,3.172,0.386,0.0,0.0,6.062,LT,422.4
0.0,0.0,0.2,0.0,0.025,0.0,1.4,3.625,0.457,0.0,9.8,8.609,LT,235.9
0.0,0.0,0.1,0.0,0.05,0.0,1.377,3.851,0.95,0.0,8.3,8.3,LT,195.5
0.0,0.0,0.2,0.0,0.025,0.0,1.251,3.072,0.202,0.0,6.2,4.304,LT,215.3
0.0,0.0,0.2,0.0,0.025,0.0,1.251,3.072,0.202,0.0,6.2,4.304,LT,215.6
0.0,0.0,0.2,0.0,0.025,0.0,1.251,3.072,0.202,0.0,6.2,4.304,LT,175.4
0.0,0.0,0.1,0.0,0.05,0.0,1.4,3.703,0.95,0.0,8.1,8.268,LT,136.3
0.0,0.762,0.2,0.0,0.025,0.0,1.4,3.571,0.457,0.0,9.8,8.609,LT,238.3
0.0,0.0,0.2,0.0,0.025,0.0,1.488,3.433,0.702,0.0,17.5,7.96,LT,237.2
0.0,0.0,0.2,0.0,0.02,0.0,2.104,5.878,0.15,0.0,9.2,6.408,LT,187.2
0.0,0.0,0.2,0.0,0.025,0.0,1.377,3.696,0.45,0.0,9.8,9,LT,250.7
0.0,0.0,0.2,0.0,0.025,0.0,1.377,3.696,0.45,0.0,9.8,9,LT,193.9
0.0,0.0,0.3,0.0,0.01,0.0,1.227,4.303,0.17,0.0,4.9,5.676,LT,214.3
0.0,0.0,0.1,0.0,0.023,0.0,1.457,4.087,0.0,0.0,0.0,6.67,LT,445.7
0.0,0.0,0.1,0.0,0.023,0.0,1.457,4.087,0.0,0.0,0.0,6.67,LT,338.9
0.0,0.0,0.0,0.0,0.025,0.0,1.377,4.465,0.2,0.0,0.0,7,LT,222.7
0.0,0.0,0.2,0.0,0.025,0.0,1.377,4.466,0.2,0.0,7.1,4.83,LT,203.6
0.0,0.0,0.0,0.0,0.025,0.0,1.251,4.542,0.202,0.0,7,4.125,LT,193.6
0.0,0.0,0.0,0.0,0.025,0.0,1.251,4.542,0.702,0.0,7,4.125,LT,175
0.0,0.0,0.1,0.0,0.05,0.0,1.377,4.423,0.4,0.0,0.0,5.5,LT,412.2
0.0,0.0,0.0,0.0,0.01,0.0,1.044,4.15,0.202,0.0,8.3,6.233,LT,181.3
0.0,0.704,0.0,0.0,0.025,0.0,1.463,4.089,0.2,0.0,4.7,7.5,LT,198
0.0,0.573,0.2,0.0,0.025,0.0,1.4,4.261,0.202,0.0,10.3,4.653,LT,248.2
0.0,0.573,0.2,0.0,0.025,0.0,1.4,4.261,0.202,0.0,10.3,4.653,LT,202.1
0.0,0.0,0.2,0.0,0.025,0.0,1.549,4.346,0.0,0.0,9.1,4.96,LT,256.2
